,czo_id,variable,DISCIPLINES
518,2862,chlorophyll concentration and didymo cell densities,Biology / Ecology|Hydrology
519,2862,didymo rating index dri,Biology / Ecology|Hydrology
520,2863,cm,Hydrology
521,2863,cm3per second,Hydrology
522,2864,gage height,Hydrology
523,2865,ammonium,Water Chemistry
524,2865,calcium,Water Chemistry
525,2865,chloride,Water Chemistry
526,2865,delta 18o,Water Chemistry
527,2865,delta deuterium,Water Chemistry
528,2865,magnesium,Water Chemistry
529,2865,nitrate,Water Chemistry
530,2865,nonpurgeable organic carbon npoc,Water Chemistry
531,2865,orthophosphate po4,Water Chemistry
532,2865,potassium,Water Chemistry
533,2865,sodium,Water Chemistry
534,2865,sulfate so4,Water Chemistry
535,2865,total dissolved nitrogen,Water Chemistry
536,2865,total dissolved phosphorus,Water Chemistry
537,2866,dems,GIS / Remote Sensing
538,2866,gis,GIS / Remote Sensing
539,2866,kml,GIS / Remote Sensing
540,2866,lidar,GIS / Remote Sensing
541,2866,shape files,GIS / Remote Sensing
542,2889,air temperature degrees celsius 25m avg,Climatology / Meteorology
543,2889,in sw radmjm225mtotal,Climatology / Meteorology
544,2889,in sw radwm225mavg,Climatology / Meteorology
545,2889,net radiation corrwm225m,Climatology / Meteorology
546,2889,net radiation watts per square meter (25m),Climatology / Meteorology
547,2889,rain gage mm,Climatology / Meteorology
548,2889,relative humidity,Climatology / Meteorology
549,2889,maximum relative humidity,Climatology / Meteorology
550,2889,relative humidity maximum time,Climatology / Meteorology
551,2889,minimum relative humidity,Climatology / Meteorology
552,2889,time of minimum relative humidity,Climatology / Meteorology
553,2889,soil temperature degrees celsius at 22 cm,Climatology / Meteorology
554,2889,soil volumetric water content at 22 cm,Climatology / Meteorology
555,2889,time of maximum wind speed 25m,Climatology / Meteorology
556,2889,windspeed meters per second average,Climatology / Meteorology
557,2889,windspeed meters per second maximum,Climatology / Meteorology
558,2889,windspeed meters per second minimum,Climatology / Meteorology
559,2915,dsm,GIS / Remote Sensing
560,2918,discharge m3s,Hydrology
561,2919,discharge m3s,Hydrology
562,2921,ascii,GIS / Remote Sensing
563,2921,las,GIS / Remote Sensing
564,2921,laz,GIS / Remote Sensing
565,2952,al	total aluminum,Water Chemistry
566,2952,anc	ancalkalinity,Water Chemistry
567,2952,calcium,Water Chemistry
568,2952,chloride,Water Chemistry
569,2952,co3	carbonate,Water Chemistry
570,2952,conductivity,Water Chemistry
571,2952,dic	dissolved inorganic carbon,Water Chemistry
572,2952,dkn	dissolved kjeldahl nitrogen,Water Chemistry
573,2952,dissolved organic carbon,Water Chemistry
574,2952,dissolved organic nitrogen,Water Chemistry
575,2952,f	fluoride,Water Chemistry
576,2952,hardness	hardness,Water Chemistry
577,2952,hco3	bicarbonate,Water Chemistry
578,2952,potassium,Water Chemistry
579,2952,magnesium,Water Chemistry
580,2952,sodium,Water Chemistry
581,2952,ammonium,Water Chemistry
582,2952,nh4n	ammoniumn,Water Chemistry
583,2952,nitrite anion no2n,Water Chemistry
584,2952,nitrate,Water Chemistry
585,2952,nitrate anion no3n,Water Chemistry
586,2952,no3nno2n	nitraten  nitriten,Water Chemistry
587,2952,no3no2	nitrate  nitrite,Water Chemistry
588,2952,ph,Water Chemistry
589,2952,po4ic	orthophosphate by ic,Water Chemistry
590,2952,poc	particulate organic carbon,Water Chemistry
591,2952,si	silica,Water Chemistry
592,2952,so4s	sulfate,Water Chemistry
593,2952,srp	soluble reactive phosphorus,Water Chemistry
594,2952,tdn	total dissolved nitrogen,Water Chemistry
595,2952,tdp	total dissolved phosphorus,Water Chemistry
596,2952,tknunf	total kjeldahl nitrogen unfiltered,Water Chemistry
597,2952,tnunf	total nitrogen unfiltered,Water Chemistry
598,2952,toc	total organic carbon,Water Chemistry
599,2952,tpunf	total phosphorus unfiltered,Water Chemistry
600,2974,iron ferrous,Biogeochemistry|Climatology / Meteorology|Geochemistry / Mineralogy|Hydrology|Soil Science / Pedology
601,2974,sulfur,Biogeochemistry|Climatology / Meteorology|Geochemistry / Mineralogy|Hydrology|Soil Science / Pedology
602,3001,volumetric soil water content m3 m3,Hydrology|Soil Science / Pedology|Biology / Ecology
603,3001,x easting m,Hydrology|Soil Science / Pedology|Biology / Ecology
604,3001,y northing m,Hydrology|Soil Science / Pedology|Biology / Ecology
605,3029,bicarp	nahco3 extractable phosphorus mg  kg,Biogeochemistry
606,3029,carbon concentration mg  g soil,Biogeochemistry
607,3029,cn c  n ratio,Biogeochemistry
608,3029,cp catena position choose one ridge slope valley,Biogeochemistry
609,3029,d depth interval cm,Biogeochemistry
610,3029,date date assay conducted,Biogeochemistry
611,3029,ft forest type tabonuco or colorado,Biogeochemistry
612,3029,ka vm  km hr 1,Biogeochemistry
613,3029,km michaelisconstant mol l1,Biogeochemistry
614,3029,naohp naoh extractable phosphorus mg  kg,Biogeochemistry
615,3029,nit nitrogen concentration mg  g soil,Biogeochemistry
616,3029,p soil pit p1  p20,Biogeochemistry
617,3029,ph soil ph in water,Biogeochemistry
618,3029,phos total extractable phosphorus nahco3  naoh mg  kg,Biogeochemistry
619,3029,so soil order oxisol or inceptisol,Biogeochemistry
620,3029,vm maximum reaction velocity for phosphatase nmol h1 g1 soil,Biogeochemistry
621,3029,water fraction of water content by mass,Biogeochemistry
622,3365,deuterium dd,Climatology / Meteorology|Geochemistry / Mineralogy|Hydrology|Water Chemistry
623,3365,oxygen18 d18o,Climatology / Meteorology|Geochemistry / Mineralogy|Hydrology|Water Chemistry
624,3422,barium,Geochemistry / Mineralogy
625,3422,cobalt,Geochemistry / Mineralogy
626,3422,copper,Geochemistry / Mineralogy
627,3422,iron,Geochemistry / Mineralogy
628,3422,manganese,Geochemistry / Mineralogy
629,3422,rubidium,Geochemistry / Mineralogy
630,3422,strontium,Geochemistry / Mineralogy
631,3422,titanium,Geochemistry / Mineralogy
632,3590,absolute pressure,Biology / Ecology|Hydrology|Water Chemistry
633,3590,dissolved oxygen,Biology / Ecology|Hydrology|Water Chemistry
634,3613,discharge m3day,Hydrology
635,3614,water depth m,Hydrology
636,3615,volumetric water content,Hydrology
637,3621,id number,Biology / Ecology
638,3621,increment height m,Biology / Ecology
639,3621,increment volume m3,Biology / Ecology
640,3621,length mm,Biology / Ecology
641,3621,root density mm3,Biology / Ecology
642,3621,sample id,Biology / Ecology
643,3622,geology,All Disciplines
644,3622,land cover,All Disciplines
645,3622,soils,All Disciplines
646,3622,vegetation,All Disciplines
647,3623,groundwater meteorological,All Disciplines
648,3623,stream flow,All Disciplines
649,3623,water quality,All Disciplines
650,3625,hydrology,All Disciplines
651,3625,land cover,All Disciplines
652,3625,landslides,All Disciplines
653,3625,municipalities,All Disciplines
654,3642,barometric pressure,Hydrology|Water Chemistry
655,3642,ldo,Hydrology|Water Chemistry
656,3642,nitrate,Hydrology|Water Chemistry
657,3648,precipitation frequency,Climatology / Meteorology
658,3648,precipitation intensity,Climatology / Meteorology
659,3654,eddy covariance,Climatology / Meteorology|Biology / Ecology
660,3654,radiation,Climatology / Meteorology|Biology / Ecology
661,3665,many,All Disciplines|Biology / Ecology
662,3676,seismic refraction,Geomorphology|Geophysics
663,3676,surface wave analyses,Geomorphology|Geophysics
664,3722,soil type,Biology / Ecology|Geology / Chronology|Soil Science / Pedology
665,3722,vegetation type,Biology / Ecology|Geology / Chronology|Soil Science / Pedology
666,3731,timedate,Climatology / Meteorology
667,3732,drainage,Biology / Ecology|Soil Science / Pedology
668,3732,runoff,Biology / Ecology|Soil Science / Pedology
669,3732,water volume,Biology / Ecology|Soil Science / Pedology
670,3737,time lapse camera,Data Management / CyberInfrastructure 
671,3742,water depth cm,Hydrology
672,3742,water temperature celsius,Hydrology
673,3790,voltage,Hydrology|Soil Science / Pedology
674,3850,18o,Hydrology|Water Chemistry|Climatology / Meteorology
675,3850,2h,Hydrology|Water Chemistry|Climatology / Meteorology
676,3857,circularity,Geomorphology
677,3857,mean curvature,Geomorphology
678,3857,perimeter,Geomorphology
679,3857,roundness,Geomorphology
680,3857,stand deviation of curvature,Geomorphology
681,3868,baseflow m3day,Hydrology
682,3868,discharge m3day,Hydrology
683,3868,evaporation m,Hydrology
684,3868,groundwater m,Hydrology
685,3868,interception loss m,Hydrology
686,3868,precipitation m,Hydrology
687,3868,quickflow m3day,Hydrology
688,3868,recharge mday,Hydrology
689,3868,te mday,Hydrology
690,3868,transpiration m,Hydrology
691,3868,unsaturated m,Hydrology
692,3869,hail diameter 1min max mm,Hydrology|Climatology / Meteorology
693,3869,liquid precip intensity 1min mmhr,Hydrology|Climatology / Meteorology
694,3869,lpm id,Hydrology|Climatology / Meteorology
695,3869,measuring quality 1min ,Hydrology|Climatology / Meteorology
696,3869,metar 4678 1min,Hydrology|Climatology / Meteorology
697,3869,metar 4678 5min avg,Hydrology|Climatology / Meteorology
698,3869,precip amount mm,Hydrology|Climatology / Meteorology
699,3869,precipitation intensity 10min avg mmhr,Hydrology|Climatology / Meteorology
700,3869,precipitation intensity 5min avg mmhr,Hydrology|Climatology / Meteorology
701,3869,precipitation intensity max of 1 minute values mmhr,Hydrology|Climatology / Meteorology
702,3869,radar reflectivity 1min dbz,Hydrology|Climatology / Meteorology
703,3869,solid precip intensity 1min mmhr,Hydrology|Climatology / Meteorology
704,3869,synop 4677 1min,Hydrology|Climatology / Meteorology
705,3869,synop 4677 5min avg,Hydrology|Climatology / Meteorology
706,3869,synop 4680 10min max,Hydrology|Climatology / Meteorology
707,3869,synop 4677 1min,Hydrology|Climatology / Meteorology
708,3869,synop 4677 1min,Hydrology|Climatology / Meteorology
709,3869,synop 4677 1min,Hydrology|Climatology / Meteorology
710,3869,synop 4677 1min,Hydrology|Climatology / Meteorology
711,3869,synop 4677 1min,Hydrology|Climatology / Meteorology
712,3869,synop 4677 1min,Hydrology|Climatology / Meteorology
713,3869,synop 4677 1min,Hydrology|Climatology / Meteorology
714,3869,synop 4677 1min,Hydrology|Climatology / Meteorology
715,3869,synop 4677 1min,Hydrology|Climatology / Meteorology
716,3869,synop 4677 1min,Hydrology|Climatology / Meteorology
717,3869,synop 4680 5min avg,Hydrology|Climatology / Meteorology
718,3869,synop 4677 1min,Hydrology|Climatology / Meteorology
719,3869,temperature degrees celsius interior,Hydrology|Climatology / Meteorology
720,3869,total precip intensity 1min mmhr,Hydrology|Climatology / Meteorology
721,3869,visibility in precip 1min m,Hydrology|Climatology / Meteorology
722,3884,datetime date in format of monthdayyear 24hourminute,Soil Science / Pedology
723,3884,lat latitude in decimal degrees,Soil Science / Pedology
724,3884,location czo site identifier,Soil Science / Pedology
725,3884,long longitude in decimal degrees,Soil Science / Pedology
726,3884,plot unique identifying integer,Soil Science / Pedology
727,3884,rs average instantaneous soil respiration micro moles c per square meter per second over three locations per site,Soil Science / Pedology
728,3884,rsse standard error of soil respiration n3,Soil Science / Pedology
729,3884,soilt soil temperature degrees celsius from one location adjacent to soil chamber,Soil Science / Pedology
730,3884,swc soil moisture  volumetric averaged from 3 locations adjacent to soil chamber,Soil Science / Pedology
731,3886,horizontal hydraulic conductivity,Hydrology|Modeling / Computational Science|Soil Science / Pedology
732,3886,saturated vertical hydraulic conductivity,Hydrology|Modeling / Computational Science|Soil Science / Pedology
733,3886,soil horizon,Hydrology|Modeling / Computational Science|Soil Science / Pedology
734,3886,total porosity,Hydrology|Modeling / Computational Science|Soil Science / Pedology
735,3886,van genuchten alpha,Hydrology|Modeling / Computational Science|Soil Science / Pedology
736,3886,van genuchten beta,Hydrology|Modeling / Computational Science|Soil Science / Pedology
737,3888,foliar delta13c ooo,Biology / Ecology
738,3888,foliar nitrogen content ,Biology / Ecology
739,3888,plot name,Biology / Ecology
740,3888,species,Biology / Ecology
741,3888,tree diameter at breast height dbh cm,Biology / Ecology
742,3888,tree ring width mm,Biology / Ecology
743,3894,a254nm,Biogeochemistry|Hydrology|Water Chemistry
744,3894,bix,Biogeochemistry|Hydrology|Water Chemistry
745,3894,components c1docc8doc,Biogeochemistry|Hydrology|Water Chemistry
746,3894,components ggsq1ggp2,Biogeochemistry|Hydrology|Water Chemistry
747,3894,day of year,Biogeochemistry|Hydrology|Water Chemistry
748,3894,fi,Biogeochemistry|Hydrology|Water Chemistry
749,3894,ftot,Biogeochemistry|Hydrology|Water Chemistry
750,3894,ftotdoc,Biogeochemistry|Hydrology|Water Chemistry
751,3894,ggp1ggp1ggp2,Biogeochemistry|Hydrology|Water Chemistry
752,3894,ggp1ggp1ggp2doc,Biogeochemistry|Hydrology|Water Chemistry
753,3894,hix,Biogeochemistry|Hydrology|Water Chemistry
754,3894,max emission at 370nm,Biogeochemistry|Hydrology|Water Chemistry
755,3894,percent ggsq1 percent ggp2doc,Biogeochemistry|Hydrology|Water Chemistry
756,3894,percent protein,Biogeochemistry|Hydrology|Water Chemistry
757,3894,percent protein dissolved organic carbon,Biogeochemistry|Hydrology|Water Chemistry
758,3932,point cloud returns,GIS / Remote Sensing
759,3935,elevation m msl,GIS / Remote Sensing
760,3935,latitude deg,GIS / Remote Sensing
761,3935,longitude deg,GIS / Remote Sensing
762,3969,method,Hydrology
763,3969,q m3s,Hydrology
764,3969,site id,Hydrology
765,3970,acid phosphatase activity,Biogeochemistry
766,3970,acid phosphatase activity per unit biomass,Biogeochemistry
767,3970,acid phosphatase activity per unit soil c,Biogeochemistry
768,3970,act  ana  gramn  gramp,Biogeochemistry
769,3970,actinobacteria biomass,Biogeochemistry
770,3970,agbgbxcbhapnag  bionmol represents total enzyme activity normalized to total biomass,Biogeochemistry
771,3970,agbgbxcbhapnagrepresents total extracellular enzyme activity,Biogeochemistry
772,3970,alpha glucosidase activity per unit biomass,Biogeochemistry
773,3970,alphia glucosidase activity,Biogeochemistry
774,3970,alphia glucosidase activity per unit soil c,Biogeochemistry
775,3970,anaerobic bacteria biomass,Biogeochemistry
776,3970,arbuscular mycorhizal fungi biomass,Biogeochemistry
777,3970,beta glucosidase activity,Biogeochemistry
778,3970,beta glucosidase activity per unit biomass,Biogeochemistry
779,3970,beta glucosidase activity per unit soil c,Biogeochemistry
780,3970,beta xylosidase activity,Biogeochemistry
781,3970,beta xylosidase activity per unit biomass,Biogeochemistry
782,3970,beta xylosidase activity per unit soil c,Biogeochemistry
783,3970,carbon concentration,Biogeochemistry
784,3970,carbondegrading enzyme activity per unit biomass,Biogeochemistry
785,3970,carbondegradizing enzyme activity agbgbxcbh,Biogeochemistry
786,3970,catena position,Biogeochemistry
787,3970,cellobiohydrolase activity,Biogeochemistry
788,3970,cellobiohyrolase activity per unit biomass,Biogeochemistry
789,3970,cellobiohyrolase activity per unit soil c,Biogeochemistry
790,3970,eukaryote biomass nonfungal,Biogeochemistry
791,3970,forest type,Biogeochemistry
792,3970,fung  amf,Biogeochemistry
793,3970,fungal biomass nonamf,Biogeochemistry
794,3970,general biomarkers biomass nonspecific to a certain group,Biogeochemistry
795,3970,gram negative bacteria biomass,Biogeochemistry
796,3970,gram positive bacteria biomass,Biogeochemistry
797,3970,log  nag  ag  bgbxcbh1 represents ratio of nc enzyme activity,Biogeochemistry
798,3970,logagbgbxcbhap1 represents ratio of cp enzyme activity,Biogeochemistry
799,3970,lognagap1,Biogeochemistry
800,3970,nacetyl glucosaminidase activity,Biogeochemistry
801,3970,nacetyl glucosaminidase activity per unit biomass,Biogeochemistry
802,3970,nacetyl glucosaminidase activity per unit soil c,Biogeochemistry
803,3970,naoh extractable phosphorus,Biogeochemistry
804,3970,nitrogen concentration,Biogeochemistry
805,3970,nmol act c  bionmol,Biogeochemistry
806,3970,nmol amf c  bionmol,Biogeochemistry
807,3970,nmol ana c  bionmol,Biogeochemistry
808,3970,nmol euk c  bionmol,Biogeochemistry
809,3970,nmol fung c  bionmol,Biogeochemistry
810,3970,nmol gramn c  bionmol,Biogeochemistry
811,3970,nmol gramp c  bionmol,Biogeochemistry
812,3970,pit,Biogeochemistry
813,3970,ppm sum of bicarbonate and sodium hydroxide p,Biogeochemistry
814,3970,sodium bicarbonate extractable p,Biogeochemistry
815,3970,soil order,Biogeochemistry
816,3970,soil ph 110 soil  di water,Biogeochemistry
817,3970,total extractable phosphorus,Biogeochemistry
818,3970,water content,Biogeochemistry
819,3972,topographic wetness index,GIS / Remote Sensing
820,4018,10be 108 atmg,Soil Science / Pedology|Geochemistry / Mineralogy
821,4018,bulk density gcm3,Soil Science / Pedology|Geochemistry / Mineralogy
822,4018,c ,Soil Science / Pedology|Geochemistry / Mineralogy
823,4018, clay,Soil Science / Pedology|Geochemistry / Mineralogy
824,4018,depth meter,Soil Science / Pedology|Geochemistry / Mineralogy
825,4018,effective base saturation ,Soil Science / Pedology|Geochemistry / Mineralogy
826,4018,effective cation exchange capacity cmolkg,Soil Science / Pedology|Geochemistry / Mineralogy
827,4018,hhe 9be ugg,Soil Science / Pedology|Geochemistry / Mineralogy
828,4018,hhe iron mgg,Soil Science / Pedology|Geochemistry / Mineralogy
829,4018,horizon,Soil Science / Pedology|Geochemistry / Mineralogy
830,4018, sand,Soil Science / Pedology|Geochemistry / Mineralogy
831,4018,strain,Soil Science / Pedology|Geochemistry / Mineralogy
832,4018,total 9be ugg,Soil Science / Pedology|Geochemistry / Mineralogy
833,4018,total aluminum mgg,Soil Science / Pedology|Geochemistry / Mineralogy
834,4018,total calcium mgg,Soil Science / Pedology|Geochemistry / Mineralogy
835,4018,total iron mgg,Soil Science / Pedology|Geochemistry / Mineralogy
836,4018,total zr mgg,Soil Science / Pedology|Geochemistry / Mineralogy
837,4032,soil co2 ppm,Soil Science / Pedology|Biogeochemistry
838,4033,2008 ag biomass kg,Biology / Ecology
839,4033,2008 dbh cm,Biology / Ecology
840,4033,2012 ag biomass kg,Biology / Ecology
841,4033,2012 dbh cm,Biology / Ecology
842,4033,xcoordinate m,Biology / Ecology
843,4033,y coordinate m,Biology / Ecology
844,4106,ksat cv,Soil Science / Pedology|Hydrology
845,4106,ksat mean,Soil Science / Pedology|Hydrology
846,4106,ksat sd,Soil Science / Pedology|Hydrology
847,4107,aluminum cation al3,Soil Science / Pedology|Water Chemistry
848,4107,alk,Soil Science / Pedology|Water Chemistry
849,4107,block,Soil Science / Pedology|Water Chemistry
850,4107,conductivity,Soil Science / Pedology|Water Chemistry
851,4107,dissolved organic carbon,Soil Science / Pedology|Water Chemistry
852,4107,Nitrate nitrogen anion no3n,Soil Science / Pedology|Water Chemistry
853,4107,p,Soil Science / Pedology|Water Chemistry
854,4107,spacing,Soil Science / Pedology|Water Chemistry
855,4107,vertical,Soil Science / Pedology|Water Chemistry
856,4107,volume,Soil Science / Pedology|Water Chemistry
857,4109,deltad of h2o,Geochemistry / Mineralogy|Water Chemistry
858,4122,water potential,Soil Science / Pedology
859,4123,bulk electrical conductivity ms,Soil Science / Pedology
860,4123,volumetric water content,Soil Science / Pedology
861,4129,aluminum umol/l,Hydrology|Water Chemistry
862,4129,alkalinity mmol/l Calcium carbonate,Hydrology|Water Chemistry
863,4129,ba mol l1,Hydrology|Water Chemistry
864,4129,calcium umol/l,Hydrology|Water Chemistry
865,4129,chlorine umol/l,Hydrology|Water Chemistry
866,4129,dissolved oxygen mgl,Hydrology|Water Chemistry
867,4129,fluorine umol/l,Hydrology|Water Chemistry
868,4129,iron umol/l,Hydrology|Water Chemistry
869,4129,potasium umol/l,Hydrology|Water Chemistry
870,4129,magnesium umol/l,Hydrology|Water Chemistry
871,4129,manganese umol/l,Hydrology|Water Chemistry
872,4129,sodium umol/l,Hydrology|Water Chemistry
873,4129,nitrate umol/l,Hydrology|Water Chemistry
874,4129,orp mv,Hydrology|Water Chemistry
875,4129,phosphorus mol/l,Hydrology|Water Chemistry
876,4129,silicon umol/l,Hydrology|Water Chemistry
877,4129,sulfate umol/l,Hydrology|Water Chemistry
878,4129,spc ms cm1,Hydrology|Water Chemistry
879,4129,strontium umol l1,Hydrology|Water Chemistry
880,4129,tds mg 1,Hydrology|Water Chemistry
881,4129,temperature degrees celsius,Hydrology|Water Chemistry
882,4129,zinc mol/l,Hydrology|Water Chemistry
883,4130,br,Hydrology|Water Chemistry
884,4130,f,Hydrology|Water Chemistry
885,4130,feii,Hydrology|Water Chemistry
886,4130,ground elevation,Hydrology|Water Chemistry
887,4130,phosphate,Hydrology|Water Chemistry
888,4130,sample name,Hydrology|Water Chemistry
889,4130,sulfate,Hydrology|Water Chemistry
890,4130,water table,Hydrology|Water Chemistry
891,4130,x coordinate,Hydrology|Water Chemistry
892,4130,y coordinate,Hydrology|Water Chemistry
893,4135,antimony dissolved,Water Chemistry
894,4135,barium dissolved,Water Chemistry
895,4135,beryllium dissolved,Water Chemistry
896,4135,bromide dissolved,Water Chemistry
897,4135,cadmium dissolved,Water Chemistry
898,4135,dissolved calcium,Water Chemistry
899,4135,carbon dissolved inorganic,Water Chemistry
900,4135,cerium dissolved,Water Chemistry
901,4135,chloride dissolved,Water Chemistry
902,4135,cobalt dissolved,Water Chemistry
903,4135,delta13c of dic,Water Chemistry
904,4135,delta18o of h2o,Water Chemistry
905,4135,delta1d of h2o,Water Chemistry
906,4135,dysprosium dissolved,Water Chemistry
907,4135,erbium dissolved,Water Chemistry
908,4135,europium dissolved,Water Chemistry
909,4135,fluorescence index,Water Chemistry
910,4135,fluoride dissolved,Water Chemistry
911,4135,gadolinium dissolved,Water Chemistry
912,4135,germanium dissolved,Water Chemistry
913,4135,holmium dissolved,Water Chemistry
914,4135,humification index,Water Chemistry
915,4135,lanthanum dissolved,Water Chemistry
916,4135,lutetium dissolved,Water Chemistry
917,4135,dissolved magnesium,Water Chemistry
918,4135,mercury dissolved,Water Chemistry
919,4135,molybdenum dissolved,Water Chemistry
920,4135,neodymium dissolved,Water Chemistry
921,4135,nickel dissolved,Water Chemistry
922,4135,nitrogen dissolved nitrate no3,Water Chemistry
923,4135,nitrogen dissolved nitrite no2,Water Chemistry
924,4135,total dissolved nitrogen,Water Chemistry
925,4135,phosphorus dissolved,Water Chemistry
926,4135,dissolved potassium,Water Chemistry
927,4135,praseodymium dissolved,Water Chemistry
928,4135,samarium dissolved,Water Chemistry
929,4135,selenium dissolved,Water Chemistry
930,4135,silicon dissolved,Water Chemistry
931,4135,silver dissolved,Water Chemistry
932,4135,dissolved sodium,Water Chemistry
933,4135,strontium dissolved,Water Chemistry
934,4135,sulfate dissolved,Water Chemistry
935,4135,Specific ultraviolet absorbance-280,Water Chemistry
936,4135,terbium dissolved,Water Chemistry
937,4135,thallium dissolved,Water Chemistry
938,4135,thulium dissolved,Water Chemistry
939,4135,tin dissolved,Water Chemistry
940,4135,titanium dissolved,Water Chemistry
941,4135,uranium dissolved,Water Chemistry
942,4135,ultra violet absorbance 254,Water Chemistry
943,4135,ultra violet absorbance 280,Water Chemistry
944,4135,vanadium dissolved,Water Chemistry
945,4135,ytterbium dissolved,Water Chemistry
946,4135,yttrium dissolved,Water Chemistry
947,4135,zirconium dissolved,Water Chemistry
948,4148,depth in cm,Biogeochemistry|Climatology / Meteorology|Soil Science / Pedology
949,4148,soil temperature degrees celsius,Biogeochemistry|Climatology / Meteorology|Soil Science / Pedology
950,4155,1,Geomorphology|Biology / Ecology
951,4155,2,Geomorphology|Biology / Ecology
952,4155,3,Geomorphology|Biology / Ecology
953,4155,4,Geomorphology|Biology / Ecology
954,4155,5,Geomorphology|Biology / Ecology
955,4155,horizontal distance pit center to rootwad,Geomorphology|Biology / Ecology
956,4155,inclination downslope,Geomorphology|Biology / Ecology
957,4155,inclination upslope,Geomorphology|Biology / Ecology
958,4155,latitude degrees,Geomorphology|Biology / Ecology
959,4155,latitude minutes,Geomorphology|Biology / Ecology
960,4155,long axis,Geomorphology|Biology / Ecology
961,4155,longitude degrees,Geomorphology|Biology / Ecology
962,4155,longitude minutes,Geomorphology|Biology / Ecology
963,4155,notes,Geomorphology|Biology / Ecology
964,4155,orientation downslope,Geomorphology|Biology / Ecology
965,4155,orientation upslope,Geomorphology|Biology / Ecology
966,4155,region,Geomorphology|Biology / Ecology
967,4155,relative age,Geomorphology|Biology / Ecology
968,4155,short axis,Geomorphology|Biology / Ecology
969,4155,tree azimuth,Geomorphology|Biology / Ecology
970,4155,tree girth 15m,Geomorphology|Biology / Ecology
971,4155,tree number,Geomorphology|Biology / Ecology
972,4155,tree type,Geomorphology|Biology / Ecology
973,4165, diff charge bal,Water Chemistry
974,4165,air temperature degrees celsius,Water Chemistry
975,4165,ancmgl,Water Chemistry
976,4165,ancueql,Water Chemistry
977,4165,calcium ueql,Water Chemistry
978,4165,charge bal,Water Chemistry
979,4165,cloud cover,Water Chemistry
980,4165,chlorine ppm,Water Chemistry
981,4165,clueql,Water Chemistry
982,4165,collection date,Water Chemistry
983,4165,collection time,Water Chemistry
984,4165,d18 1sigma,Water Chemistry
985,4165,d18o permill,Water Chemistry
986,4165,deuterium d permill,Water Chemistry
987,4165,dissolved organic nitrogen uml,Water Chemistry
988,4165,dissolved organic phosphorous uml,Water Chemistry
989,4165,field conductivity,Water Chemistry
990,4165,inuml,Water Chemistry
991,4165,ipuml,Water Chemistry
992,4165,potasium ppm,Water Chemistry
993,4165,potassium ueql,Water Chemistry
994,4165,lab conductivity,Water Chemistry
995,4165,location,Water Chemistry
996,4165,major ions and sihueql cappm,Water Chemistry
997,4165,magnesium ppm,Water Chemistry
998,4165,magnesium ueql,Water Chemistry
999,4165,sodium ppm,Water Chemistry
1000,4165,sodium microequivalents per liter ,Water Chemistry
1001,4165,ammonium microequivalents per liter ,Water Chemistry
1002,4165,nitrate ppm,Water Chemistry
1003,4165,nitrate microequivalents per liter,Water Chemistry
1004,4165,nutrientsdoc mg cl,Water Chemistry
1005,4165,phaeophytinugl,Water Chemistry
1006,4165,phosphorus um/l (pnuml),Water Chemistry
1007,4165,ppuml,Water Chemistry
1008,4165,silicon icp centrifuge ppm,Water Chemistry
1009,4165,silicon icp ppm,Water Chemistry
1010,4165,silicon dioxide colorimetricuml,Water Chemistry
1011,4165,silicon dioxide (sio2) icp  centrifuge ppm,Water Chemistry
1012,4165,silicon dioxide (sio2) icp ppm,Water Chemistry
1013,4165,sulfate ppm,Water Chemistry
1014,4165,sulfate ueql,Water Chemistry
1015,4165,sum,Water Chemistry
1016,4165,tdnuml,Water Chemistry
1017,4165,total dissolved phosphorus uml,Water Chemistry
1018,4165,tnuml,Water Chemistry
1019,4165,total phosphorus uml,Water Chemistry
1020,4165,tritium 1sigma,Water Chemistry
1021,4165,tritium,Water Chemistry
1022,4165,water isotopes dexcessmill,Water Chemistry
1023,4165,water temperature celsius,Water Chemistry
1024,4165,wind,Water Chemistry
1025,4174,antistokes scatter nm,Hydrology
1026,4174,length m,Hydrology
1027,4174,stokes scatter nm,Hydrology
1028,4174,temperature degrees celsius,Hydrology
1029,4182,point cloud,GIS / Remote Sensing|Geomorphology
1030,4324,raster image data,GIS / Remote Sensing
1031,4606,and number of return from ground nground,GIS / Remote Sensing
1032,4606,average return height avgh,GIS / Remote Sensing
1033,4606,average scan angle avgscanangle,GIS / Remote Sensing
1034,4606,canopy cover cov,GIS / Remote Sensing
1035,4606,canopy density dns,GIS / Remote Sensing
1036,4606,elevation,GIS / Remote Sensing
1037,4606,fic,GIS / Remote Sensing
1038,4606,latitude lat,GIS / Remote Sensing
1039,4606,latynad83 utm 17n,GIS / Remote Sensing
1040,4606,lidar return height percentiles p05 top90,GIS / Remote Sensing
1041,4606,longitude long,GIS / Remote Sensing
1042,4606,longxnad83 utm 17n,GIS / Remote Sensing
1043,4606,maximum return height maxh,GIS / Remote Sensing
1044,4606,maximum scan angle maxscan,GIS / Remote Sensing
1045,4606,minimum return heightminh,GIS / Remote Sensing
1046,4606,minimum scan angle minscan,GIS / Remote Sensing
1047,4606,number of returns from vegetatation nveg,GIS / Remote Sensing
1048,4606,number of returns nreturns,GIS / Remote Sensing
1049,4606,see detail below,GIS / Remote Sensing
