,Variable,Unit,Aggregations,czo_id,Discipline
440,elevation m,NaN,,2652,Geochemistry / Mineralogy
441,field tech,NaN,,2652,Geochemistry / Mineralogy
442,local time of day est,NaN,,2652,Geochemistry / Mineralogy
443,partial pressure of carbon dioxide ppmv,NaN,,2652,Geochemistry / Mineralogy
444,sample label,NaN,,2652,Geochemistry / Mineralogy
445,soil depth m,NaN,,2652,Geochemistry / Mineralogy
446,soil temperature at 7 centimeter depth,degreescelsius,,2652,Geochemistry / Mineralogy
447,count cps,NaN,,2653,Geophysics
448,circumference,cm,,2654,Biology / Ecology|Hydrology
449,data logger id a port,NaN,,2654,Biology / Ecology|Hydrology
450,data logger id b port,NaN,,2654,Biology / Ecology|Hydrology
451,deuterium mass,g,,2654,Biology / Ecology|Hydrology
452,diff1avg1	differential degrees c,NaN,,2654,Biology / Ecology|Hydrology
453,injected deuterium mass,g,,2654,Biology / Ecology|Hydrology
454,injection date,NaN,,2654,Biology / Ecology|Hydrology
455,injection finish time,NaN,,2654,Biology / Ecology|Hydrology
456,injection start time,NaN,,2654,Biology / Ecology|Hydrology
457,record id number for sap flux datalogger,NaN,,2654,Biology / Ecology|Hydrology
458,sampling date tree id,NaN,,2654,Biology / Ecology|Hydrology
459,sap flux time,NaN,,2654,Biology / Ecology|Hydrology
460,sap flux id,NaN,,2654,Biology / Ecology|Hydrology
461,species name,NaN,,2654,Biology / Ecology|Hydrology
462,tower number,NaN,,2654,Biology / Ecology|Hydrology
463,tree group,NaN,,2654,Biology / Ecology|Hydrology
464,tree species,NaN,,2654,Biology / Ecology|Hydrology
465,2h,permil,,2655,Biology / Ecology|Hydrology
466,d18o,permil,,2655,Biology / Ecology|Hydrology
467,tree id,NaN,,2655,Biology / Ecology|Hydrology
468,distance,NaN,,2658,Hydrology
469,radiationshortwave,NaN,,2659,Climatology / Meteorology
470,sap flow,NaN,,2661,Biology / Ecology|Hydrology
471,volumetric water content,NaN,,2666,Soil Science / Pedology
472,air temperature,degreescelsius,,2692,Climatology / Meteorology|Hydrology
473,average wind speed,ms,,2692,Climatology / Meteorology|Hydrology
474,ground temperature,degc,,2692,Climatology / Meteorology|Hydrology
475,record,NaN,,2692,Climatology / Meteorology|Hydrology
476,solar radiation,wm2,,2692,Climatology / Meteorology|Hydrology
477,volumetric water content,NaN,,2692,Climatology / Meteorology|Hydrology
478,wind speed,meterspersecond,,2692,Climatology / Meteorology|Hydrology
479,absolute pressure,NaN,,2695,Hydrology
480,barometric pressure,NaN,,2695,Hydrology
481,specific uv absorbance,NaN,,2742,Water Chemistry|Geochemistry / Mineralogy|Soil Science / Pedology
482,ultra violet absorbance,NaN,,2742,Water Chemistry|Geochemistry / Mineralogy|Soil Science / Pedology
483,average hmp virtual temperature,degc,,2752,Climatology / Meteorology
484,average hmp water vapor concentration,gm3,,2752,Climatology / Meteorology
485,average irga surface pressure,kpa,,2752,Climatology / Meteorology
486,average irga water vapor concentration,gm3,,2752,Climatology / Meteorology
487,average net radiation,wm2,,2752,Climatology / Meteorology
488,average photosynthetically active radiation,molm2s1,,2752,Climatology / Meteorology
489,est,NaN,,2752,Climatology / Meteorology
490,hmp relative humidity,NaN,,2752,Climatology / Meteorology
491,hmp virtual temperature,degc,,2752,Climatology / Meteorology
492,leaf wetness sensor voltage output,mv,,2752,Climatology / Meteorology
493,record number,NaN,,2752,Climatology / Meteorology
494,timestamp utc4,NaN,,2752,Climatology / Meteorology
495,air temperature,degreescelsius,,2782,Climatology / Meteorology|Hydrology
496,sensor depth,cm,,2782,Climatology / Meteorology|Hydrology
497,air temperature,degreescelsius,,2782,Climatology / Meteorology|Hydrology
498,sensor depth,cm,,2782,Climatology / Meteorology|Hydrology
499,air temperature,degreescelsius,,2782,Climatology / Meteorology|Hydrology
500,sensor depth,cm,,2782,Climatology / Meteorology|Hydrology
501,air temperature,degreescelsius,,2782,Climatology / Meteorology|Hydrology
502,sensor depth,cm,,2782,Climatology / Meteorology|Hydrology
503,air temperature,degreescelsius,,2782,Climatology / Meteorology|Hydrology
504,sensor depth,cm,,2782,Climatology / Meteorology|Hydrology
505,air temperature,NaN,,2821,Climatology / Meteorology
506,atmospheric pressure,NaN,,2821,Climatology / Meteorology
507,rain,NaN,,2821,Climatology / Meteorology
508,shortwave radiation,NaN,,2821,Climatology / Meteorology
509,soil moisture,NaN,,2821,Climatology / Meteorology
510,soil temperature,NaN,,2821,Climatology / Meteorology
511,depth meter,NaN,,2822,Geophysics
512,ohmm,NaN,,2822,Geophysics
513,velocity,meterspersecond,,2822,Geophysics
514,c,NaN,,2833,Biology / Ecology
515,soil microbe counts,NaN,,2833,Biology / Ecology
516,xrd,NaN,,2860,Geochemistry / Mineralogy
517,xrf,NaN,,2860,Geochemistry / Mineralogy
518,ash free dry mass (afdm),NaN,,2862,Biology / Ecology|Hydrology
519,chlorophyll concentration and didymo cell densities,NaN,,2862,Biology / Ecology|Hydrology
520,didymo rating index dri,NaN,,2862,Biology / Ecology|Hydrology
521, ,cm,,2863,Hydrology
522, ,cm3persecond,,2863,Hydrology
523,gage height,NaN,,2864,Hydrology
524,ammonium,NaN,,2865,Water Chemistry
525,calcium,NaN,,2865,Water Chemistry
526,chloride,NaN,,2865,Water Chemistry
527,delta 18o,NaN,,2865,Water Chemistry
528,delta deuterium,NaN,,2865,Water Chemistry
529,magnesium,NaN,,2865,Water Chemistry
530,nitrate,NaN,,2865,Water Chemistry
531,nonpurgeable organic carbon npoc,NaN,,2865,Water Chemistry
532,orthophosphate po4,NaN,,2865,Water Chemistry
533,potassium,NaN,,2865,Water Chemistry
534,sodium,NaN,,2865,Water Chemistry
535,sulfate so4,NaN,,2865,Water Chemistry
536,total dissolved nitrogen,NaN,,2865,Water Chemistry
537,total dissolved phosphorus,NaN,,2865,Water Chemistry
538,dems,NaN,,2866,GIS / Remote Sensing
539,gis,NaN,,2866,GIS / Remote Sensing
540,kml,NaN,,2866,GIS / Remote Sensing
541,lidar,NaN,,2866,GIS / Remote Sensing
542,shape files,NaN,,2866,GIS / Remote Sensing
543,air temperature 25m avg,degreescelsius,,2889,Climatology / Meteorology
544,in sw radmjm225mtotal,NaN,,2889,Climatology / Meteorology
545,in sw radwm225mavg,NaN,,2889,Climatology / Meteorology
546,net radiation corrwm225m,NaN,,2889,Climatology / Meteorology
547,net radiation watts per square meter (25m),NaN,,2889,Climatology / Meteorology
548,rain gage,mm,,2889,Climatology / Meteorology
549,relative humidity,NaN,,2889,Climatology / Meteorology
550,maximum relative humidity,NaN,,2889,Climatology / Meteorology
551,relative humidity maximum time,NaN,,2889,Climatology / Meteorology
552,minimum relative humidity,NaN,,2889,Climatology / Meteorology
553,timeofminimum relative humidity,NaN,,2889,Climatology / Meteorology
554,soil temperature at 22 cm,degreescelsius,,2889,Climatology / Meteorology
555,soil volumetric water content at 22,cm,,2889,Climatology / Meteorology
556,timeofmaximum wind speed 25m,NaN,,2889,Climatology / Meteorology
557,windspeed average,meterspersecond,,2889,Climatology / Meteorology
558,windspeed maximum,meterspersecond,,2889,Climatology / Meteorology
559,windspeed minimum,meterspersecond,,2889,Climatology / Meteorology
560,dsm,NaN,,2915,GIS / Remote Sensing
561,discharge,m3s,,2918,Hydrology
562,discharge,m3s,,2919,Hydrology
563,ascii,NaN,,2921,GIS / Remote Sensing
564,las,NaN,,2921,GIS / Remote Sensing
565,laz,NaN,,2921,GIS / Remote Sensing
566,al	total aluminum,NaN,,2952,Water Chemistry
567,anc	ancalkalinity,NaN,,2952,Water Chemistry
568,calcium,NaN,,2952,Water Chemistry
569,chloride,NaN,,2952,Water Chemistry
570,co3	carbonate,NaN,,2952,Water Chemistry
571,conductivity,NaN,,2952,Water Chemistry
572,dic	dissolved inorganic carbon,NaN,,2952,Water Chemistry
573,dkn	dissolved kjeldahl nitrogen,NaN,,2952,Water Chemistry
574,dissolved organic carbon,NaN,,2952,Water Chemistry
575,dissolved organic nitrogen,NaN,,2952,Water Chemistry
576,f	fluoride,NaN,,2952,Water Chemistry
577,hardness	hardness,NaN,,2952,Water Chemistry
578,hco3	bicarbonate,NaN,,2952,Water Chemistry
579,potassium,NaN,,2952,Water Chemistry
580,magnesium,NaN,,2952,Water Chemistry
581,sodium,NaN,,2952,Water Chemistry
582,ammonium,NaN,,2952,Water Chemistry
583,nh4n	ammoniumn,NaN,,2952,Water Chemistry
584,nitrite anion no2n,NaN,,2952,Water Chemistry
585,nitrate,NaN,,2952,Water Chemistry
586,nitrate anion no3n,NaN,,2952,Water Chemistry
587,no3nno2n	nitraten  nitriten,NaN,,2952,Water Chemistry
588,no3no2	nitrate  nitrite,NaN,,2952,Water Chemistry
589,ph,NaN,,2952,Water Chemistry
590,po4ic	orthophosphate by ic,NaN,,2952,Water Chemistry
591,poc	particulate organic carbon,NaN,,2952,Water Chemistry
592,si	silica,NaN,,2952,Water Chemistry
593,so4s	sulfate,NaN,,2952,Water Chemistry
594,srp	soluble reactive phosphorus,NaN,,2952,Water Chemistry
595,tdn	total dissolved nitrogen,NaN,,2952,Water Chemistry
596,tdp	total dissolved phosphorus,NaN,,2952,Water Chemistry
597,tknunf	total kjeldahl nitrogen unfiltered,NaN,,2952,Water Chemistry
598,tnunf	total nitrogen unfiltered,NaN,,2952,Water Chemistry
599,toc	total organic carbon,NaN,,2952,Water Chemistry
600,tpunf	total phosphorus unfiltered,NaN,,2952,Water Chemistry
601,iron ferrous,NaN,,2974,Biogeochemistry|Climatology / Meteorology|Geochemistry / Mineralogy|Hydrology|Soil Science / Pedology
602,sulfur,NaN,,2974,Biogeochemistry|Climatology / Meteorology|Geochemistry / Mineralogy|Hydrology|Soil Science / Pedology
603,volumetric soil water content,m3,,3001,Hydrology|Soil Science / Pedology|Biology / Ecology
604,x easting m,NaN,,3001,Hydrology|Soil Science / Pedology|Biology / Ecology
605,y northing m,NaN,,3001,Hydrology|Soil Science / Pedology|Biology / Ecology
606,bicarp	nahco3 extractable phosphorus,mgkg,,3029,Biogeochemistry
607,carbon concentration soil,mgg,,3029,Biogeochemistry
608,cn c  n ratio,NaN,,3029,Biogeochemistry
609,cp catena position choose one ridge slope valley,NaN,,3029,Biogeochemistry
610,d depth interval,cm,,3029,Biogeochemistry
611,date date assay conducted,NaN,,3029,Biogeochemistry
612,forest type tabonuco or colorado,ft,,3029,Biogeochemistry
613,ka vm  1,kmhr,,3029,Biogeochemistry
614,km michaelisconstant,moll1,,3029,Biogeochemistry
615,naohp naoh extractable phosphorus,mgkg,,3029,Biogeochemistry
616,nit nitrogen concentration soil,mg,,3029,Biogeochemistry
617,p soil pit p1  p20,NaN,,3029,Biogeochemistry
618,ph soil ph in water,NaN,,3029,Biogeochemistry
619,phos total extractable phosphorus nahco3  naoh,mgkg,,3029,Biogeochemistry
620,so soil order oxisol or inceptisol,NaN,,3029,Biogeochemistry
621,vm maximum reaction velocity for phosphatase nmol h1 g1 soil,NaN,,3029,Biogeochemistry
622,water fraction of water content by mass,NaN,,3029,Biogeochemistry
623,deuterium dd,NaN,,3365,Climatology / Meteorology|Geochemistry / Mineralogy|Hydrology|Water Chemistry
624,oxygen18 d18o,NaN,,3365,Climatology / Meteorology|Geochemistry / Mineralogy|Hydrology|Water Chemistry
625,barium,NaN,,3422,Geochemistry / Mineralogy
626,cobalt,NaN,,3422,Geochemistry / Mineralogy
627,copper,NaN,,3422,Geochemistry / Mineralogy
628,iron,NaN,,3422,Geochemistry / Mineralogy
629,manganese,NaN,,3422,Geochemistry / Mineralogy
630,rubidium,NaN,,3422,Geochemistry / Mineralogy
631,strontium,NaN,,3422,Geochemistry / Mineralogy
632,titanium,NaN,,3422,Geochemistry / Mineralogy
633,absolute pressure,NaN,,3590,Biology / Ecology|Hydrology|Water Chemistry
634,dissolved oxygen,NaN,,3590,Biology / Ecology|Hydrology|Water Chemistry
635,discharge,m3day,,3613,Hydrology
636,water depth m,NaN,,3614,Hydrology
637,volumetric water content,NaN,,3615,Hydrology
638,id number,NaN,,3621,Biology / Ecology
639,increment height m,NaN,,3621,Biology / Ecology
640,increment volume,m3,,3621,Biology / Ecology
641,length,mm,,3621,Biology / Ecology
642,root density mm3,NaN,,3621,Biology / Ecology
643,sample id,NaN,,3621,Biology / Ecology
644,geology,NaN,,3622,All Disciplines
645,land cover,NaN,,3622,All Disciplines
646,soils,NaN,,3622,All Disciplines
647,vegetation,NaN,,3622,All Disciplines
648,groundwater meteorological,NaN,,3623,All Disciplines
649,stream flow,NaN,,3623,All Disciplines
650,water quality,NaN,,3623,All Disciplines
651,hydrology,NaN,,3625,All Disciplines
652,land cover,NaN,,3625,All Disciplines
653,landslides,NaN,,3625,All Disciplines
654,municipalities,NaN,,3625,All Disciplines
655,barometric pressure,NaN,,3642,Hydrology|Water Chemistry
656,ldo,NaN,,3642,Hydrology|Water Chemistry
657,nitrate,NaN,,3642,Hydrology|Water Chemistry
658,precipitation frequency,NaN,,3648,Climatology / Meteorology
659,precipitation intensity,NaN,,3648,Climatology / Meteorology
660,eddy covariance,NaN,,3654,Climatology / Meteorology|Biology / Ecology
661,radiation,NaN,,3654,Climatology / Meteorology|Biology / Ecology
662,many,NaN,,3665,All Disciplines|Biology / Ecology
663,seismic refraction,NaN,,3676,Geomorphology|Geophysics
664,surface wave analyses,NaN,,3676,Geomorphology|Geophysics
665,soil type,NaN,,3722,Biology / Ecology|Geology / Chronology|Soil Science / Pedology
666,vegetation type,NaN,,3722,Biology / Ecology|Geology / Chronology|Soil Science / Pedology
667,timedate,NaN,,3731,Climatology / Meteorology
668,drainage,NaN,,3732,Biology / Ecology|Soil Science / Pedology
669,runoff,NaN,,3732,Biology / Ecology|Soil Science / Pedology
670,water volume,NaN,,3732,Biology / Ecology|Soil Science / Pedology
671,time lapse camera,NaN,,3737,Data Management / CyberInfrastructure 
672,water depth,cm,,3742,Hydrology
673,water temperature,celsius,,3742,Hydrology
674,voltage,NaN,,3790,Hydrology|Soil Science / Pedology
675,18o,NaN,,3850,Hydrology|Water Chemistry|Climatology / Meteorology
676,2h,NaN,,3850,Hydrology|Water Chemistry|Climatology / Meteorology
677,circularity,NaN,,3857,Geomorphology
678,mean curvature,NaN,,3857,Geomorphology
679,perimeter,NaN,,3857,Geomorphology
680,roundness,NaN,,3857,Geomorphology
681,stand deviation of curvature,NaN,,3857,Geomorphology
682,baseflow,m3day,,3868,Hydrology
683,discharge,m3day,,3868,Hydrology
684,evaporation m,NaN,,3868,Hydrology
685,groundwater m,NaN,,3868,Hydrology
686,interception loss m,NaN,,3868,Hydrology
687,precipitation m,NaN,,3868,Hydrology
688,quickflow,m3day,,3868,Hydrology
689,recharge mday,NaN,,3868,Hydrology
690,te mday,NaN,,3868,Hydrology
691,transpiration m,NaN,,3868,Hydrology
692,unsaturated m,NaN,,3868,Hydrology
693,hail diameter 1min max,mm,,3869,Hydrology|Climatology / Meteorology
694,liquid precip intensity 1min mmhr,NaN,,3869,Hydrology|Climatology / Meteorology
695,lpm id,NaN,,3869,Hydrology|Climatology / Meteorology
696,measuring quality 1min,NaN,,3869,Hydrology|Climatology / Meteorology
697,metar 4678 1min,NaN,,3869,Hydrology|Climatology / Meteorology
698,metar 4678 5min avg,NaN,,3869,Hydrology|Climatology / Meteorology
699,precip amount,mm,,3869,Hydrology|Climatology / Meteorology
700,precipitation intensity 10min avg mmhr,NaN,,3869,Hydrology|Climatology / Meteorology
701,precipitation intensity 5min avg mmhr,NaN,,3869,Hydrology|Climatology / Meteorology
702,precipitation intensity max of 1 minute values mmhr,NaN,,3869,Hydrology|Climatology / Meteorology
703,radar reflectivity 1min dbz,NaN,,3869,Hydrology|Climatology / Meteorology
704,solid precip intensity 1min mmhr,NaN,,3869,Hydrology|Climatology / Meteorology
705,synop 4677 1min,NaN,,3869,Hydrology|Climatology / Meteorology
706,synop 4677 5min avg,NaN,,3869,Hydrology|Climatology / Meteorology
707,synop 4680 10min max,NaN,,3869,Hydrology|Climatology / Meteorology
708,synop 4677 1min,NaN,,3869,Hydrology|Climatology / Meteorology
709,synop 4677 1min,NaN,,3869,Hydrology|Climatology / Meteorology
710,synop 4677 1min,NaN,,3869,Hydrology|Climatology / Meteorology
711,synop 4677 1min,NaN,,3869,Hydrology|Climatology / Meteorology
712,synop 4677 1min,NaN,,3869,Hydrology|Climatology / Meteorology
713,synop 4677 1min,NaN,,3869,Hydrology|Climatology / Meteorology
714,synop 4677 1min,NaN,,3869,Hydrology|Climatology / Meteorology
715,synop 4677 1min,NaN,,3869,Hydrology|Climatology / Meteorology
716,synop 4677 1min,NaN,,3869,Hydrology|Climatology / Meteorology
717,synop 4677 1min,NaN,,3869,Hydrology|Climatology / Meteorology
718,synop 4680 5min avg,NaN,,3869,Hydrology|Climatology / Meteorology
719,synop 4677 1min,NaN,,3869,Hydrology|Climatology / Meteorology
720,temperature interior,degreescelsius,,3869,Hydrology|Climatology / Meteorology
721,total precip intensity 1min mmhr,NaN,,3869,Hydrology|Climatology / Meteorology
722,visibility in precip 1min m,NaN,,3869,Hydrology|Climatology / Meteorology
723,datetime date in format of monthdayyear 24hourminute,NaN,,3884,Soil Science / Pedology
724,lat latitude in decimal degrees,NaN,,3884,Soil Science / Pedology
725,location czo site identifier,NaN,,3884,Soil Science / Pedology
726,long longitude in decimal degrees,NaN,,3884,Soil Science / Pedology
727,plot unique identifying integer,NaN,,3884,Soil Science / Pedology
728,rs average instantaneous soil respiration micro moles c per square meter per second over three locations per site,NaN,,3884,Soil Science / Pedology
729,rsse standard error of soil respiration n3,NaN,,3884,Soil Science / Pedology
730,soilt soil temperature from one location adjacent to soil chamber,degreescelsius,,3884,Soil Science / Pedology
731,swc soil moisture  volumetric averaged from 3 locations adjacent to soil chamber,NaN,,3884,Soil Science / Pedology
732,horizontal hydraulic conductivity,NaN,,3886,Hydrology|Modeling / Computational Science|Soil Science / Pedology
733,saturated vertical hydraulic conductivity,NaN,,3886,Hydrology|Modeling / Computational Science|Soil Science / Pedology
734,soil horizon,NaN,,3886,Hydrology|Modeling / Computational Science|Soil Science / Pedology
735,total porosity,NaN,,3886,Hydrology|Modeling / Computational Science|Soil Science / Pedology
736,van genuchten alpha,NaN,,3886,Hydrology|Modeling / Computational Science|Soil Science / Pedology
737,van genuchten beta,NaN,,3886,Hydrology|Modeling / Computational Science|Soil Science / Pedology
738,foliar delta13c ooo,NaN,,3888,Biology / Ecology
739,foliar nitrogen content,NaN,,3888,Biology / Ecology
740,plot name,NaN,,3888,Biology / Ecology
741,species,NaN,,3888,Biology / Ecology
742,tree diameter at breast height dbh,cm,,3888,Biology / Ecology
743,tree ring width,mm,,3888,Biology / Ecology
744,a254nm,NaN,,3894,Biogeochemistry|Hydrology|Water Chemistry
745,bix,NaN,,3894,Biogeochemistry|Hydrology|Water Chemistry
746,components c1docc8doc,NaN,,3894,Biogeochemistry|Hydrology|Water Chemistry
747,components ggsq1ggp2,NaN,,3894,Biogeochemistry|Hydrology|Water Chemistry
748,day of year,NaN,,3894,Biogeochemistry|Hydrology|Water Chemistry
749,fi,NaN,,3894,Biogeochemistry|Hydrology|Water Chemistry
750,ftot,NaN,,3894,Biogeochemistry|Hydrology|Water Chemistry
751,ftotdoc,NaN,,3894,Biogeochemistry|Hydrology|Water Chemistry
752,ggp1ggp1ggp2,NaN,,3894,Biogeochemistry|Hydrology|Water Chemistry
753,ggp1ggp1ggp2doc,NaN,,3894,Biogeochemistry|Hydrology|Water Chemistry
754,hix,NaN,,3894,Biogeochemistry|Hydrology|Water Chemistry
755,max emission at 370nm,NaN,,3894,Biogeochemistry|Hydrology|Water Chemistry
756,percent ggsq1 percent ggp2doc,NaN,,3894,Biogeochemistry|Hydrology|Water Chemistry
757,percent protein,NaN,,3894,Biogeochemistry|Hydrology|Water Chemistry
758,percent protein dissolved organic carbon,NaN,,3894,Biogeochemistry|Hydrology|Water Chemistry
759,point cloud returns,NaN,,3932,GIS / Remote Sensing
760,elevation m msl,NaN,,3935,GIS / Remote Sensing
761,latitude,deg,,3935,GIS / Remote Sensing
762,longitude,deg,,3935,GIS / Remote Sensing
763,method,NaN,,3969,Hydrology
764,q,m3s,,3969,Hydrology
765,site id,NaN,,3969,Hydrology
766,acid phosphatase activity,NaN,,3970,Biogeochemistry
767,acid phosphatase activity per unit biomass,NaN,,3970,Biogeochemistry
768,acid phosphatase activity per unit soil c,NaN,,3970,Biogeochemistry
769,act  ana  gramn  gramp,NaN,,3970,Biogeochemistry
770,actinobacteria biomass,NaN,,3970,Biogeochemistry
771,agbgbxcbhapnag  bionmol represents total enzyme activity normalized to total biomass,NaN,,3970,Biogeochemistry
772,agbgbxcbhapnagrepresents total extracellular enzyme activity,NaN,,3970,Biogeochemistry
773,alpha glucosidase activity per unit biomass,NaN,,3970,Biogeochemistry
774,alphia glucosidase activity,NaN,,3970,Biogeochemistry
775,alphia glucosidase activity per unit soil c,NaN,,3970,Biogeochemistry
776,anaerobic bacteria biomass,NaN,,3970,Biogeochemistry
777,arbuscular mycorhizal fungi biomass,NaN,,3970,Biogeochemistry
778,beta glucosidase activity,NaN,,3970,Biogeochemistry
779,beta glucosidase activity per unit biomass,NaN,,3970,Biogeochemistry
780,beta glucosidase activity per unit soil c,NaN,,3970,Biogeochemistry
781,beta xylosidase activity,NaN,,3970,Biogeochemistry
782,beta xylosidase activity per unit biomass,NaN,,3970,Biogeochemistry
783,beta xylosidase activity per unit soil c,NaN,,3970,Biogeochemistry
784,carbon concentration,NaN,,3970,Biogeochemistry
785,carbondegrading enzyme activity per unit biomass,NaN,,3970,Biogeochemistry
786,carbondegradizing enzyme activity agbgbxcbh,NaN,,3970,Biogeochemistry
787,catena position,NaN,,3970,Biogeochemistry
788,cellobiohydrolase activity,NaN,,3970,Biogeochemistry
789,cellobiohyrolase activity per unit biomass,NaN,,3970,Biogeochemistry
790,cellobiohyrolase activity per unit soil c,NaN,,3970,Biogeochemistry
791,eukaryote biomass nonfungal,NaN,,3970,Biogeochemistry
792,forest type,NaN,,3970,Biogeochemistry
793,fung  amf,NaN,,3970,Biogeochemistry
794,fungal biomass nonamf,NaN,,3970,Biogeochemistry
795,general biomarkers biomass nonspecific to a certain group,NaN,,3970,Biogeochemistry
796,gram negative bacteria biomass,NaN,,3970,Biogeochemistry
797,gram positive bacteria biomass,NaN,,3970,Biogeochemistry
798,log  nag  ag  bgbxcbh1 represents ratio of nc enzyme activity,NaN,,3970,Biogeochemistry
799,logagbgbxcbhap1 represents ratio of cp enzyme activity,NaN,,3970,Biogeochemistry
800,lognagap1,NaN,,3970,Biogeochemistry
801,nacetyl glucosaminidase activity,NaN,,3970,Biogeochemistry
802,nacetyl glucosaminidase activity per unit biomass,NaN,,3970,Biogeochemistry
803,nacetyl glucosaminidase activity per unit soil c,NaN,,3970,Biogeochemistry
804,naoh extractable phosphorus,NaN,,3970,Biogeochemistry
805,nitrogen concentration,NaN,,3970,Biogeochemistry
806,nmol act c  bionmol,NaN,,3970,Biogeochemistry
807,nmol amf c  bionmol,NaN,,3970,Biogeochemistry
808,nmol ana c  bionmol,NaN,,3970,Biogeochemistry
809,nmol euk c  bionmol,NaN,,3970,Biogeochemistry
810,nmol fung c  bionmol,NaN,,3970,Biogeochemistry
811,nmol gramn c  bionmol,NaN,,3970,Biogeochemistry
812,nmol gramp c  bionmol,NaN,,3970,Biogeochemistry
813,pit,NaN,,3970,Biogeochemistry
814,sumof bicarbonate and sodium hydroxide p,ppm,,3970,Biogeochemistry
815,sodium bicarbonate extractable p,NaN,,3970,Biogeochemistry
816,soil order,NaN,,3970,Biogeochemistry
817,soil ph 110 soil  di water,NaN,,3970,Biogeochemistry
818,total extractable phosphorus,NaN,,3970,Biogeochemistry
819,water content,NaN,,3970,Biogeochemistry
820,topographic wetness index,NaN,,3972,GIS / Remote Sensing
821,10be 108 atmg,NaN,,4018,Soil Science / Pedology|Geochemistry / Mineralogy
822,bulk density,gcm3,,4018,Soil Science / Pedology|Geochemistry / Mineralogy
823,c,NaN,,4018,Soil Science / Pedology|Geochemistry / Mineralogy
824,clay,NaN,,4018,Soil Science / Pedology|Geochemistry / Mineralogy
825,depth meter,NaN,,4018,Soil Science / Pedology|Geochemistry / Mineralogy
826,effective base saturation,NaN,,4018,Soil Science / Pedology|Geochemistry / Mineralogy
827,effective cation exchange capacity cmolkg,NaN,,4018,Soil Science / Pedology|Geochemistry / Mineralogy
828,hhe 9be ugg,NaN,,4018,Soil Science / Pedology|Geochemistry / Mineralogy
829,hhe iron,mgg,,4018,Soil Science / Pedology|Geochemistry / Mineralogy
830,horizon,NaN,,4018,Soil Science / Pedology|Geochemistry / Mineralogy
831,sand,NaN,,4018,Soil Science / Pedology|Geochemistry / Mineralogy
832,strain,NaN,,4018,Soil Science / Pedology|Geochemistry / Mineralogy
833,total 9be ugg,NaN,,4018,Soil Science / Pedology|Geochemistry / Mineralogy
834,total aluminum,mgg,,4018,Soil Science / Pedology|Geochemistry / Mineralogy
835,total calcium,mgg,,4018,Soil Science / Pedology|Geochemistry / Mineralogy
836,total iron,mgg,,4018,Soil Science / Pedology|Geochemistry / Mineralogy
837,total zr,mgg,,4018,Soil Science / Pedology|Geochemistry / Mineralogy
838,soil co2,ppm,,4032,Soil Science / Pedology|Biogeochemistry
839,2008 ag biomass kg,NaN,,4033,Biology / Ecology
840,2008 dbh,cm,,4033,Biology / Ecology
841,2012 ag biomass kg,NaN,,4033,Biology / Ecology
842,2012 dbh,cm,,4033,Biology / Ecology
843,xcoordinate m,NaN,,4033,Biology / Ecology
844,y coordinate m,NaN,,4033,Biology / Ecology
845,ksat cv,NaN,,4106,Soil Science / Pedology|Hydrology
846,ksat mean,NaN,,4106,Soil Science / Pedology|Hydrology
847,ksat sd,NaN,,4106,Soil Science / Pedology|Hydrology
848,aluminum cation al3,NaN,,4107,Soil Science / Pedology|Water Chemistry
849,alk,NaN,,4107,Soil Science / Pedology|Water Chemistry
850,block,NaN,,4107,Soil Science / Pedology|Water Chemistry
851,conductivity,NaN,,4107,Soil Science / Pedology|Water Chemistry
852,dissolved organic carbon,NaN,,4107,Soil Science / Pedology|Water Chemistry
853,Nitrate nitrogen anion no3n,NaN,,4107,Soil Science / Pedology|Water Chemistry
854,p,NaN,,4107,Soil Science / Pedology|Water Chemistry
855,spacing,NaN,,4107,Soil Science / Pedology|Water Chemistry
856,vertical,NaN,,4107,Soil Science / Pedology|Water Chemistry
857,volume,NaN,,4107,Soil Science / Pedology|Water Chemistry
858,deltad of h2o,NaN,,4109,Geochemistry / Mineralogy|Water Chemistry
859,water potential,NaN,,4122,Soil Science / Pedology
860,bulk electrical conductivity,ms,,4123,Soil Science / Pedology
861,volumetric water content,NaN,,4123,Soil Science / Pedology
862,aluminum,umol/l,,4129,Hydrology|Water Chemistry
863,alkalinity mmol/l Calcium carbonate,NaN,,4129,Hydrology|Water Chemistry
864,ba,moll1,,4129,Hydrology|Water Chemistry
865,calcium,umol/l,,4129,Hydrology|Water Chemistry
866,chlorine,umol/l,,4129,Hydrology|Water Chemistry
867,dissolved oxygen,mgl,,4129,Hydrology|Water Chemistry
868,fluorine,umol/l,,4129,Hydrology|Water Chemistry
869,iron,umol/l,,4129,Hydrology|Water Chemistry
870,potasium,umol/l,,4129,Hydrology|Water Chemistry
871,magnesium,umol/l,,4129,Hydrology|Water Chemistry
872,manganese,umol/l,,4129,Hydrology|Water Chemistry
873,sodium,umol/l,,4129,Hydrology|Water Chemistry
874,nitrate,umol/l,,4129,Hydrology|Water Chemistry
875,orp,mv,,4129,Hydrology|Water Chemistry
876,phosphorus,mol/l,,4129,Hydrology|Water Chemistry
877,silicon,umol/l,,4129,Hydrology|Water Chemistry
878,sulfate,umol/l,,4129,Hydrology|Water Chemistry
879,spc cm1,ms,,4129,Hydrology|Water Chemistry
